minute,samples_shoulder,shoulder_mean,shoulder_min,shoulder_max,samples_headroll,headroll_mean,headroll_min,headroll_max,samples_mouth,mouth_mean,mouth_min,mouth_max
78,300,-0.0020606078704198203,-0.02441820502281189,0.027245551347732544,300,-3.594612592188408,-13.437553615262784,7.202487623816051,300,0.032381938135195604,0.00015471838335892138,0.17118410003829523
79,300,-0.005877030789852142,-0.01914799213409424,0.014850318431854248,300,-2.6159059388294095,-13.955750874028878,8.511405208435653,300,0.054268329823296164,0.00017893462173065194,0.1973219729244047
80,300,0.008781499167283376,-0.024203121662139893,0.03317132592201233,300,-4.966490204880625,-15.52701114096636,9.813221416991533,300,0.039622347526167556,0.00021679313225241053,0.19747255519400247
81,300,0.014140831728776296,-0.014707386493682861,0.035672396421432495,183,-4.335002237854763,-15.98827617954733,7.938946103330145,183,0.023595617744344346,0.0002272227867236432,0.23573981853781864
82,300,0.021959244906902313,-0.01001739501953125,0.0597040057182312,300,-10.24439773238771,-31.333761732291556,4.583113667790643,300,0.040865840305299224,0.00018047192046692336,0.21423434823937273
83,300,0.0010833985606829325,-0.020016968250274658,0.033322542905807495,300,-6.1567914944908555,-28.745418424167053,11.352610192240409,300,0.053802065606319276,0.00011086483418049456,0.33293244813177864
84,300,0.004884871939818064,-0.01885521411895752,0.054238468408584595,300,-7.636127866158419,-20.11989327861459,11.90551732627482,300,0.03969329148263401,9.587291799857155e-05,0.23074492806213168
85,300,0.0029419579108556112,-0.013186484575271606,0.02078545093536377,300,-3.4745866295572205,-22.179644442814727,20.503687544063023,300,0.030968846524291358,0.00019722032470951927,0.18070135637910748
86,300,0.014106172720591227,-0.0069536566734313965,0.039896875619888306,300,-7.936577178312413,-50.43523026016713,8.449016962632045,300,0.04268851592784759,0.0001024291337955503,0.42233392269118336
87,300,0.00796609491109848,-0.007969170808792114,0.03511801362037659,300,-5.795495563190588,-16.8336027172822,4.616843108629404,300,0.06293883609975923,0.00019220765532920403,0.2964644372959008
88,300,0.00818106989065806,-0.01050490140914917,0.03016221523284912,300,-8.269546358566153,-22.367483555263057,15.119019972814174,300,0.06128985576355746,0.0003415700171099166,0.2897684178484978
89,300,0.0030579819281895955,-0.01818951964378357,0.03255194425582886,295,-2.899413986012691,-31.262944256817285,15.261762861538806,295,0.054454866362047244,0.00019062818502682714,0.3007901036962542
90,32,-0.0007927538827061653,-0.022869467735290527,0.02971571683883667,8,-17.764143423219885,-23.368252563212096,-8.40588574029741,8,0.0039056677233009415,0.0015390529031990843,0.012687898683912867
